Survived,PassengerId
0,892
0,893
0,894
1,895
0,896
0,897
0,898
0,899
1,900
0,901
0,902
0,903
0,904
0,905
0,906
1,907
0,908
1,909
0,910
1,911
0,912
1,913
1,914
1,915
0,916
0,917
0,918
0,919
1,920
0,921
0,922
0,923
0,924
1,925
1,926
1,927
0,928
1,929
1,930
0,931
0,932
0,933
0,934
1,935
1,936
1,937
0,938
0,939
1,940
0,941
1,942
0,943
0,944
0,945
1,946
0,947
0,948
0,949
0,950
0,951
0,952
0,953
0,954
0,955
0,956
1,957
1,958
0,959
1,960
1,961
0,962
0,963
0,964
1,965
0,966
1,967
0,968
1,969
0,970
0,971
1,972
1,973
0,974
0,975
0,976
0,977
0,978
1,979
0,980
1,981
0,982
0,983
0,984
0,985
1,986
1,987
1,988
1,989
1,990
0,991
0,992
0,993
0,994
1,995
1,996
1,997
1,998
0,999
0,1000
1,1001
0,1002
0,1003
1,1004
1,1005
0,1006
1,1007
0,1008
1,1009
1,1010
1,1011
1,1012
0,1013
0,1014
1,1015
0,1016
0,1017
0,1018
1,1019
0,1020
1,1021
1,1022
0,1023
0,1024
0,1025
0,1026
1,1027
0,1028
0,1029
0,1030
0,1031
0,1032
1,1033
1,1034
1,1035
0,1036
0,1037
0,1038
0,1039
0,1040
0,1041
0,1042
0,1043
0,1044
0,1045
0,1046
1,1047
0,1048
0,1049
0,1050
0,1051
0,1052
1,1053
1,1054
0,1055
0,1056
0,1057
0,1058
0,1059
1,1060
1,1061
0,1062
0,1063
0,1064
0,1065
0,1066
1,1067
1,1068
1,1069
1,1070
1,1071
0,1072
0,1073
1,1074
0,1075
0,1076
0,1077
1,1078
0,1079
0,1080
0,1081
0,1082
0,1083
0,1084
0,1085
0,1086
0,1087
0,1088
1,1089
0,1090
0,1091
0,1092
0,1093
1,1094
1,1095
0,1096
1,1097
0,1098
0,1099
1,1100
1,1101
1,1102
0,1103
0,1104
0,1105
0,1106
1,1107
0,1108
0,1109
0,1110
0,1111
1,1112
0,1113
1,1114
0,1115
1,1116
0,1117
0,1118
0,1119
0,1120
0,1121
0,1122
1,1123
0,1124
0,1125
1,1126
0,1127
1,1128
1,1129
0,1130
0,1131
1,1132
1,1133
0,1134
0,1135
0,1136
1,1137
1,1138
0,1139
1,1140
1,1141
1,1142
0,1143
1,1144
1,1145
1,1146
0,1147
0,1148
1,1149
1,1150
0,1151
0,1152
0,1153
1,1154
1,1155
0,1156
0,1157
0,1158
0,1159
0,1160
0,1161
0,1162
0,1163
0,1164
0,1165
0,1166
0,1167
0,1168
0,1169
0,1170
0,1171
0,1172
0,1173
0,1174
1,1175
1,1176
0,1177
0,1178
0,1179
0,1180
0,1181
0,1182
0,1183
0,1184
0,1185
0,1186
1,1187
1,1188
0,1189
1,1190
1,1191
1,1192
0,1193
0,1194
1,1195
0,1196
1,1197
0,1198
0,1199
1,1200
0,1201
0,1202
1,1203
0,1204
0,1205
0,1206
1,1207
1,1208
0,1209
1,1210
0,1211
1,1212
1,1213
1,1214
0,1215
1,1216
0,1217
0,1218
0,1219
0,1220
0,1221
1,1222
0,1223
0,1224
1,1225
1,1226
1,1227
0,1228
0,1229
1,1230
0,1231
0,1232
1,1233
0,1234
0,1235
0,1236
0,1237
0,1238
0,1239
0,1240
1,1241
1,1242
0,1243
0,1244
0,1245
1,1246
0,1247
1,1248
0,1249
0,1250
0,1251
0,1252
1,1253
1,1254
1,1255
0,1256
1,1257
0,1258
0,1259
1,1260
0,1261
0,1262
1,1263
1,1264
0,1265
1,1266
1,1267
0,1268
0,1269
1,1270
0,1271
0,1272
1,1273
0,1274
0,1275
0,1276
1,1277
1,1278
0,1279
1,1280
0,1281
1,1282
1,1283
1,1284
0,1285
0,1286
0,1287
1,1288
0,1289
0,1290
1,1291
1,1292
0,1293
1,1294
1,1295
0,1296
1,1297
0,1298
1,1299
0,1300
1,1301
0,1302
0,1303
0,1304
0,1305
0,1306
0,1307
0,1308
0,1309
